County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
DAUPHIN,101 DISTRIBUTORS LLC,101 DISTRIBUTORS LLC,17111-1063,USA,22**8555,OTP Wholesaler,02/29/2024,"2771 PAXTON ST
HARRISBURG, PA 17111-1063
(40.25575, -76.84235)"
NORTHAMPTON,TYAG VATSAL LLC,BATH MINI MARKET,18014-9567,USA,48**8849,Cigarette/OTP Retail,02/28/2023,"6007 W MAIN BLVD
BATH, PA 18014-9567
(40.73372, -75.41786)"
ALLEGHENY,GRAB N GO LLC,GRAB N GO STORE,15102-3148,USA,02**1325,Cigarette/OTP Retail,02/29/2024,"1010 CLIFTON RD
BETHEL PARK, PA 15102-3148
(40.29793, -80.04578)"
ALLEGHENY,VIRGILI BEER DIST INC,VIRGILI BEER DIST. INC.,15102-3808,USA,02**1888,Cigarette Retail,02/29/2024,"2834 S PARK RD
BETHEL PARK, PA 15102-3808
(40.32802, -80.03746)"
ALLEGHENY,GUJJAR JATT LLC,GUJJAR JATT LLC,15025-1436,USA,02**1942,Cigarette/OTP Retail,02/29/2024,"601 SAINT CLAIR AVE
CLAIRTON, PA 15025-1436
(40.29334, -79.88757)"
LEHIGH,CAPL RETAIL LLC,JOE'S KWIK MARTS #1047,18052-7004,USA,39**1162,Cigarette/OTP Retail,02/29/2024,"1110 MACARTHUR RD
WHITEHALL, PA 18052-7004
(40.62007, -75.48015)"
LACKAWANNA,SHREE KHODIYAR MAA LLC,CONVENIENT FOOD MART #3001,18509-1019,USA,35**0855,Cigarette/OTP Retail,02/29/2024,"2500 BOULEVARD AVE
SCRANTON, PA 18509-1019
(41.43793, -75.64033)"
LUZERNE,DOMMES LLC,REHOSKIS MARKET,18642-1408,USA,40**0362,Cigarette Retail,02/29/2024,"201 FOOTE AVE
DURYEA, PA 18642-1408
(41.34255, -75.76171)"
PHILADELPHIA,KAABA MARKET LLC,KAABA MARKET,19114-2205,USA,51**5148,Cigarette/OTP Retail,02/29/2024,"9257 ROOSEVELT BLVD
PHILADELPHIA, PA 19114-2205
(40.07729, -75.03176)"
UNKNOWN/OUT OF STATE,TH MINIT MARKETS LLC,TH MINIT MARKETS LLC,01581-1032,USA,99**8106,OTP Wholesaler,02/28/2023,"165 FLANDERS RD
WESTBOROUGH, MA 01581-1032
(42.27625, -71.56317)"
PHILADELPHIA,FUXION INC,1021 ARCH ST,19107-2307,USA,51**7021,Cigarette/OTP Retail,02/29/2024,"1021 ARCH ST
PHILADELPHIA, PA 19107-2307
(39.95367, -75.15725)"
LEHIGH,EGYPT SMOKE SHOP LLC,4015 S CHURCH ST,18052,USA,39**7969,Cigarette Retail,02/29/2024,"4015 S CHURCH ST
WHITEHALL, PA 18052"
LEHIGH,TOP STAR EXPRESS INC,TOP STAR EXPRESS INC.,18049-4013,USA,39**8496,Cigarette Wholesaler,02/28/2023,"14 E MAIN ST
EMMAUS, PA 18049-4013
(40.54077, -75.48589)"
DAUPHIN,CANARIO MINI MARKET LLC,CANARIO MINI MARKET LLC,17103-2562,USA,22**7479,Cigarette/OTP Retail,02/29/2024,"26 N 19TH ST
HARRISBURG, PA 17103-2562
(40.26897, -76.86159)"
BERKS,REDNERS MARKETS INC,REDNER'S #74 QUICK STOP,19605-9283,USA,06**9867,Cigarette/OTP Retail,02/29/2024,"8381 ALLENTOWN PIKE
READING, PA 19605-9283
(40.44813, -75.89866)"
ALLEGHENY,HURD’S GREENOCK DELI LLC,HURD’S GRRENOCK DELI LLC,15135-2325,USA,02**0069,Cigarette/OTP Retail,02/29/2024,"1127 GREENOCK BUENA VISTA RD
MCKEESPORT, PA 15135-2325
(40.31231, -79.80377)"
WASHINGTON,MON CITY SMOKE & CONVENIENCE,MON CITY SMOKE & CONVENIENCE,15063-2408,USA,63**2158,Cigarette Retail,02/29/2024,"212 W MAIN ST
MONONGAHELA, PA 15063-2408
(40.2017, -79.92453)"
PHILADELPHIA,AJH CONVENIENCE STORE LLC,AJH CONVENIENCE STORE LLC,19147-6335,USA,51**1484,Cigarette/OTP Retail,02/29/2024,"1525 S 11TH ST
PHILADELPHIA, PA 19147-6335
(39.93014, -75.16304)"
LEBANON,SMOOTH VAPE LLC,SMOOTH VAPE,17038-9423,USA,38**0101,OTP Manufacturer,02/28/2023,"9 LION LN
JONESTOWN, PA 17038-9423
(40.40597, -76.48934)"
WESTMORELAND,DIDI ENTERPRISE LLC,YUKON MARKET,15698-9811,USA,65**0972,Cigarette/OTP Retail,02/29/2024,"120 HIGHWAY ST
YUKON, PA 15698-9811
(40.21385, -79.68227)"
UNKNOWN/OUT OF STATE,KAIVAL BRANDS INNOVATIONS GROUP INC.,MAIN,32949-8236,USA,99**8270,OTP Wholesaler,02/29/2024,"4460 OLD DIXIE HWY
GRANT VALKARIA, FL 32949-8236
(27.94665, -80.53586)"
BERKS,RODRIGUEZ LUIS J,SOFIA GROCERY,19601-3619,USA,06**2070,Cigarette/OTP Retail,02/29/2024,"808 WALNUT ST
READING, PA 19601-3619
(40.33835, -75.92148)"
CENTRE,GRAB N GO 2 LLC,GRAB N GO 2 LLC,16801-5308,USA,14**2111,Cigarette/OTP Retail,02/29/2024,"401 S PUGH ST
STATE COLLEGE, PA 16801-5308
(40.79274, -77.85609)"
LEHIGH,TOP STAR EXPRESS INC,TOP STAR EXPRESS INC.,18049-4013,USA,39**8497,OTP Wholesaler,02/28/2023,"14 E MAIN ST
EMMAUS, PA 18049-4013
(40.54077, -75.48589)"
NORTHUMBERLAND,AGAM RETAIL LLC,AGAM RETAIL LLC,17872,USA,49**1326,Cigarette/OTP Retail,02/29/2024,"517 E SUNBURY ST
SHAMOKIN, PA 17872
(40.79312, -76.55083)"
DAUPHIN,RGS MARKET LLC,RGS MARKET LLC,17112-2676,USA,22**9392,Cigarette Retail,02/29/2024,"6000 JONESTOWN RD
HARRISBURG, PA 17112-2676
(40.31915, -76.78763)"
DAUPHIN,RK SMOKE SHOP LLC,RK SMOKE SHOP LLC,17034-1019,USA,22**2123,Cigarette/OTP Retail,02/29/2024,"80 2ND ST
HIGHSPIRE, PA 17034-1019
(40.21066, -76.79454)"
BUCKS,J & J FRESHNERS LLC,J&J FRESHNERS LLC,19055-1803,USA,09**8050,OTP Wholesaler,02/28/2023,"1637 HAINES RD
LEVITTOWN, PA 19055-1803
(40.13766, -74.83368)"
BERKS,KANICAJOT LLC,MARATHON CONVENIENCE STORE,19526-8100,USA,06**1965,Cigarette Retail,02/29/2024,"16617 POTTSVILLE PIKE
HAMBURG, PA 19526-8100
(40.53808, -75.97638)"
SNYDER,HERMAN JEFFREY E,HOBO GOLD,17842-7706,USA,55**7033,Cigarette Retail,02/29/2024,"73 STUMPS RUN ALY
MIDDLEBURG, PA 17842-7706
(40.79405, -77.04594)"
MONROE,SHREE GANESHA 5684 LLC,SHREE GANESHA 5684 LLC,18610,USA,45**2553,Cigarette/OTP Retail,02/29/2024,"5684 ROUTE 115
BLAKESLEE, PA 18610
(41.09336, -75.59337)"
BLAIR,KEYSTONE SMOKE SHOP LLC,KEYSTONE GLASS AND WELLNESS,16648-9632,USA,07**6932,Cigarette Retail,02/29/2024,"200 BEL ST
HOLLIDAYSBURG, PA 16648-9632
(40.43092, -78.35393)"
UNKNOWN/OUT OF STATE,AFG DISTRIBUTION INC,AFG DISTRIBUTION,28806-3824,USA,99**7859,OTP Wholesaler,02/28/2023,"59 BINGHAM RD
ASHEVILLE, NC 28806-3824
(35.59995, -82.58341)"
BLAIR,KEYSTONE SMOKE SHOP LLC,KEYSTONE GLASS AND WELLNESS,16648-9632,USA,07**6906,OTP Itinerant,02/29/2024,"200 BEL ST
HOLLIDAYSBURG, PA 16648-9632
(40.43092, -78.35393)"
PHILADELPHIA,SDA DAREEN CORPORATION,SDA DAREEN CORPORATION,19115-4374,USA,46**8298,OTP Wholesaler,02/28/2023,"2200 MICHENER ST
PHILADELPHIA, PA 19115-4374
(40.07979, -75.03127)"
BUCKS,TAJ DISTRIBUTIONS INC,TAJ DISTRIBUTIONS INC,19020-5934,USA,51**2121,Cigarette/OTP Wholesaler,02/28/2023,"651 WINKS LN
BENSALEM, PA 19020-5934
(40.08679, -74.9209)"
BERKS,READING SMOKE SHOP LLC,READING SMOKE SHOP LLC,19601-3608,USA,06**6916,Cigarette/OTP Retail,02/29/2024,"903 PENN ST
READING, PA 19601-3608
(40.33522, -75.9198)"
PHILADELPHIA,REYNOSO MINI MARKET INC,REYNOSO MINI MARKET INC,19120-2544,USA,51**1917,OTP Retail,02/29/2024,"351 E OLNEY AVE
PHILADELPHIA, PA 19120-2544
(40.0347, -75.1149)"
CARBON,JV MART LLC,JV MART,18235-5506,USA,13**2042,Cigarette/OTP Retail,02/29/2024,"7605 INTERCHANGE RD
LEHIGHTON, PA 18235-5506
(40.86994, -75.57292)"
BERKS,KEYANJIYAN INC,KEYANJIYAN INC,19605-2461,USA,06**0334,Cigarette/OTP Retail,02/29/2024,"2934 N 5TH STREET HWY
READING, PA 19605-2461
(40.3786, -75.92721)"
SUSQUEHANNA,THE VAPE DISPENSARY LLC,THE VAPE DISPENSARY LLC,18834-7517,USA,58**2679,Cigarette/OTP Retail,02/29/2024,"1613 OLIVER RD
NEW MILFORD, PA 18834-7517
(41.82321, -75.68222)"
PHILADELPHIA,REYNOSO MINI MARKET INC,REYNOSO MINI MARKET INC,19120-2544,USA,51**1889,Cigarette Retail,02/29/2024,"351 E OLNEY AVE
PHILADELPHIA, PA 19120-2544
(40.0347, -75.1149)"
LEHIGH,EGYPT SMOKE SHOP LLC,4015 S CHURCH ST,18052,USA,39**0513,OTP Retail,02/29/2024,"4015 S CHURCH ST
WHITEHALL, PA 18052"
SUSQUEHANNA,HALLSTEAD TOBACCO LLC,HALLSTEAD TOBACCO LLC,18822-8820,USA,58**3493,Cigarette/OTP Retail,02/29/2024,"702 MAIN ST
HALLSTEAD, PA 18822-8820
(41.96224, -75.74273)"
DELAWARE,GANESH FOOD MART LLC,PANTRY 1 FOOD MART,19022-1222,USA,23**9225,Cigarette/OTP Retail,02/29/2024,"609 CHESTER PIKE
CRUM LYNNE, PA 19022-1222
(39.87054, -75.33298)"
PHILADELPHIA,OSCAR GROCERY I INC,OSCAR GROCERY I INC,19141-1344,USA,51**6790,Cigarette/OTP Retail,02/29/2024,"6052 OGONTZ AVE
PHILADELPHIA, PA 19141-1344
(40.04771, -75.15099)"
BLAIR,KEYSTONE SMOKE SHOP LLC,KEYSTONE GLASS AND WELLNESS,16648-9632,USA,07**6933,Cigarette Itinerant,02/29/2024,"200 BEL ST
HOLLIDAYSBURG, PA 16648-9632
(40.43092, -78.35393)"
MONTGOMERY,REDNERS MARKETS INC,REDNER'S #82 GAS BOOTH,19464-2300,USA,46**1390,Cigarette/OTP Retail,02/29/2024,"1258 N CHARLOTTE ST
POTTSTOWN, PA 19464-2300
(40.26436, -75.62882)"
ALLEGHENY,HENGORAWLLC,HENGORAW LLC,15206-1217,USA,02**8597,Cigarette Wholesaler,02/29/2024,"7157 CHURCHLAND ST
PITTSBURGH, PA 15206-1217
(40.47018, -79.89522)"
BLAIR,KEYSTONE SMOKE SHOP LLC,KEYSTONE GLASS AND WELLNESS,16648-9632,USA,07**6905,OTP Retail,02/29/2024,"200 BEL ST
HOLLIDAYSBURG, PA 16648-9632
(40.43092, -78.35393)"
ALLEGHENY,FRANKLIN SQUARE LP,KUHNS MARKET,15127,USA,02**2294,Cigarette/OTP Retail,02/28/2023,"745 WEST INGOMAR ROAD
INGOMAR, PA 15127"
UNKNOWN/OUT OF STATE,MCLANE OHIO INC.,MCLANE OHIO INC.,76503-6115,USA,99**7989,OTP Wholesaler,02/28/2023,"PO BOX 6115
TEMPLE, TX 76503-6115"
PHILADELPHIA,TILVAWALA INC,AKOOS NEWSTAND,19102,USA,51**4640,Cigarette Retail,02/28/2023,"!6 TH & RANSTEAD STREET
PHILADELPHIA, PA 19102"
DELAWARE,TIO MATEO,TIO MATTI,19026-3104,USA,23**5374,Cigarette Retail,02/29/2024,"699 BURMONT RD
DREXEL HILL, PA 19026-3104
(39.94948, -75.30716)"
YORK,FALLS HOTEL INC,FALLS HOTEL INC,17370-9037,USA,67**4939,Cigarette Vending,02/28/2023,"1179 CLY RD
YORK HAVEN, PA 17370-9037
(40.12418, -76.73723)"
CAMBRIA,MMPATEL II INC,MM PATEL II INC,16641-1422,USA,11**9083,Cigarette/OTP Retail,02/29/2024,"700 MAIN ST
GALLITZIN, PA 16641-1422
(40.48129, -78.55241)"
LUZERNE,NARAYAN INC,855 EXETER AVENUE,18643-1737,USA,40**1652,Cigarette Retail,02/29/2024,"855 EXETER AVE
EXETER, PA 18643-1737
(41.33845, -75.80419)"
WYOMING,VILLAGE SWEET SHOP,VILLAGE SWEET SHOP,18630-8582,USA,66**0025,Cigarette Stamping Agent,02/28/2023,"7992 SR 6
MESHOPPEN, PA 18630-8582
(41.614, -76.03814)"
BLAIR,ANKNEY II RAYMOND,BELLWOOD U V H A,16617,USA,11**8132,Cigarette Vending,02/28/2023,"MAIN STREET
BELLWOOD, PA 16617"
LACKAWANNA,CCJ VENTURES LLC,ADAMS 2ND AVE,18434-1080,USA,35**0029,Cigarette Vending,02/29/2024,"309 2ND AVE
JESSUP, PA 18434-1080
(41.47507, -75.56834)"
UNKNOWN/OUT OF STATE,INTER CONTINENTAL CIGAR CORP,BERNIE SCHREY,33025-3908,USA,99**2112,OTP Itinerant,02/28/2023,"3251 COMMERCE PKWY
MIRAMAR, FL 33025-3908
(25.97805, -80.28085)"
TIOGA,ZAOMI INC,WELLSBORO SMOKE SHOP,16901-8921,USA,59**3496,OTP Retail,02/29/2024,"114 TIOGA ST
WELLSBORO, PA 16901-8921
(41.7513, -77.29768)"
WAYNE,CCJ VENTURES LLC,RIVERSIDE TAVERN,18461-1040,USA,35**0029,Cigarette Vending,02/29/2024,"1052 WINTERDALE RD
STARLIGHT, PA 18461-1040
(41.95479, -75.31925)"
LUZERNE,CCJ VENTURES LLC,AL'S NUTHOUSE,18634-2912,USA,35**0029,Cigarette Vending,02/29/2024,"401 E NOBLE ST
NANTICOKE, PA 18634-2912
(41.20272, -75.99366)"
FAYETTE,EDMONTA ENTERPRISE LLC,EDMONTA ENTERPRISE LLC,15401-6511,USA,26**1072,Cigarette/OTP Retail,02/29/2024,"251 HOPWOOD FAIRCHANCE RD
UNIONTOWN, PA 15401-6511
(39.86494, -79.70848)"
LACKAWANNA,CCJ VENTURES LLC,DISKIN'S SALOON,18505-3128,USA,35**0029,Cigarette Vending,02/29/2024,"2716 BIRNEY AVE
SCRANTON, PA 18505-3128
(41.38161, -75.68871)"
UNKNOWN/OUT OF STATE,VAPOR AUTHORITY INC,INTERNET,92123-1257,USA,99**3302,OTP Retail,02/28/2023,"9187 CLAIREMONT MESA BLVD
SAN DIEGO, CA 92123-1257
(32.83096, -117.13158)"
LUZERNE,CCJ VENTURES LLC,LACEY'S BAR AND CATERING,18634-1815,USA,35**0029,Cigarette Vending,02/29/2024,"444 E MAIN ST
NANTICOKE, PA 18634-1815
(41.20599, -75.99604)"
LUZERNE,CCJ VENTURES LLC,AMERICAN LEGION HARVEY'S LAKE,18618-2187,USA,35**0029,Cigarette Vending,02/29/2024,"4907 MEMORIAL HWY
HARVEYS LAKE, PA 18618-2187"
BUCKS,SHREEJI VAPE & SMOKE INC,SHREEJI VAPE & SMOKE SHOP,18944-1248,USA,09**4799,Cigarette Retail,02/29/2024,"505 CONSTITUTION AVE
PERKASIE, PA 18944-1248
(40.36305, -75.29889)"
YORK,2 COUSINS BEVERAGE LLC,2 COUSINS BEVERAGE LLC,17404-3530,USA,67**2844,Cigarette Retail,02/29/2024,"330 S RICHLAND AVE
YORK, PA 17404-3530
(39.95046, -76.74713)"
SCHUYLKILL,FEGLEYS MINI MART INC,FEGLEYS MINI MART INC,18252,USA,54**3404,Cigarette/OTP Retail,02/28/2023,"30-36 SOUTH CENTER STREET
TAMAQUA, PA 18252
(40.79657, -75.96905)"
ALLEGHENY,HENGORAWLLC,HENGORAW LLC,15206-1217,USA,02**7281,Cigarette Itinerant,02/29/2024,"7157 CHURCHLAND ST
PITTSBURGH, PA 15206-1217
(40.47018, -79.89522)"
LYCOMING,SMOKE SQUARE LLC,SMOKER'S SQUARE,17701-1192,USA,41**7209,OTP Retail,02/29/2024,"2062 LYCOMING CREEK RD
WILLIAMSPORT, PA 17701-1192
(41.26035, -77.04384)"
BUCKS,ISNV2 INC,ISMOKE&VAPE,19053-5963,USA,09**7162,Cigarette/OTP Retail,02/29/2024,"650 W STREET RD
FEASTERVILLE TREVOSE, PA 19053-5963
(40.15782, -75.01439)"
ALLEGHENY,CLOUD 9 SMOKE SHOP 2 LLC,STORE FRONT,15137-1667,USA,02**3144,Cigarette/OTP Retail,02/29/2024,"1734 GREENSBURG AVE
NORTH VERSAILLES, PA 15137-1667
(40.38645, -79.82157)"
LACKAWANNA,CCJ VENTURES LLC,ADAMS AVE APARTMENTS,18510-2048,USA,35**0029,Cigarette Vending,02/29/2024,"420 ADAMS AVE
SCRANTON, PA 18510-2048
(41.40983, -75.65937)"
BEAVER,NSQUARE ENTERPRISE LLC,ALIQUIPPA FOOD MART,15001-2731,USA,04**4717,Cigarette/OTP Retail,02/29/2024,"2105 SHEFFIELD RD
ALIQUIPPA, PA 15001-2731
(40.60708, -80.27878)"
SOMERSET,AMERICAN AMUSEMENTS INC,AMERICAN AMUSEMENT INC,15531-1131,USA,56**7757,Cigarette Vending,02/28/2023,"321 MAIN ST
BOSWELL, PA 15531-1131
(40.16098, -79.02925)"
MONTGOMERY,HILLCREST TOBACCO AND LOTTERY LLC,HILLCREST TOBACCO AND LOTTERY LLC,19401-1330,USA,46**7800,Cigarette/OTP Retail,02/29/2024,"118 W GERMANTOWN PIKE
NORRISTOWN, PA 19401-1330
(40.14507, -75.32059)"
DELAWARE,KINGS DOLLAR & VARIETY STORE INC,DOLLAR MAGIC,19013-5033,USA,23**0149,Cigarette Retail,02/29/2024,"2240 EDGMONT AVE
CHESTER, PA 19013-5033
(39.86405, -75.36943)"
WESTMORELAND,THREE RIDGES BEVERAGE CO.,THREE RIDGES BEVERAGE,15650-1713,USA,65**3949,Cigarette Retail,02/29/2024,"117 LLOYD AVE
LATROBE, PA 15650-1713
(40.31357, -79.38904)"
BEDFORD,VFW POST 8333 CANTEEN HOME ASSOCIATION I NCORPORATED,VFW POST 8333 CANTEEN HOM,15533-0071,USA,05**1545,Cigarette Vending,02/28/2023,"2099 S BREEZEWOOD ROAD
BREEZEWOOD, PA 15533-0071
(39.95342, -78.24208)"
CUMBERLAND,MUKUMLUNG LLC,MUKUMLUNG LLC,17013-2642,USA,21**5074,Cigarette/OTP Retail,02/29/2024,"1911 W TRINDLE RD
CARLISLE, PA 17013-2642
(40.19929, -77.16079)"
LUZERNE,CCJ VENTURES LLC,JOE'S BOTTLE CAPS,18651-3089,USA,35**0029,Cigarette Vending,02/29/2024,"139 E MAIN ST
PLYMOUTH, PA 18651-3089
(41.24169, -75.94215)"
DAUPHIN,KATHMANDU BEVERAGE,KATHMANDU BEVERAGE,17111-1928,USA,22**2718,Cigarette/OTP Retail,02/29/2024,"3697 DERRY ST
HARRISBURG, PA 17111-1928
(40.25854, -76.82729)"
LUZERNE,MANCO 2 LLC,MANCO 2 LLC,18634-1126,USA,40**5009,Cigarette/OTP Retail,02/29/2024,"93 ALLEN ST
NANTICOKE, PA 18634-1126
(41.21962, -76.0126)"
WAYNE,CCJ VENTURES LLC,THE FISHING HOLE BAR & GRILL,18437-1000,USA,35**0029,Cigarette Vending,02/29/2024,"68 ROSE HILL RD
LAKE COMO, PA 18437-1000
(41.85233, -75.3322)"
UNKNOWN/OUT OF STATE,VAPERISTAS LLC,VAPERISTAS LLC,60191-2600,USA,99**5953,OTP Itinerant,02/28/2023,"591 N EDGEWOOD AVE
WOOD DALE, IL 60191-2600
(41.97307, -87.96485)"
PHILADELPHIA,HUANG QIAO FENG,CAMAC ST GROCERY STORE,19148-4313,USA,51**0535,Cigarette Retail,02/29/2024,"2655 S CAMAC ST
PHILADELPHIA, PA 19148-4313
(39.9166, -75.16816)"
UNKNOWN/OUT OF STATE,VAPE LIKE A SIR LLC,VAPE LIKE A SIR LLC DBA GIANT VAPE,23236-3918,USA,99**5275,OTP Retail,02/28/2023,"820 SOUTHLAKE BLVD
NORTH CHESTERFIELD, VA 23236-3918
(37.50374, -77.59772)"
CENTRE,SMOKE SQUARE LLC,SMOKER'S SQUARE,16801-6203,USA,14**0263,OTP Retail,02/29/2024,"1306 S ATHERTON ST
STATE COLLEGE, PA 16801-6203
(40.78439, -77.8443)"
LACKAWANNA,CCJ VENTURES LLC,AMERICAN LEGION POST 869,18403-1738,USA,35**0029,Cigarette Vending,02/29/2024,"161 S MAIN ST
ARCHBALD, PA 18403-1738
(41.48724, -75.55456)"
NORTHAMPTON,UAE PETROLEUM 2 LLC,2500 NORTHAMPTON ROAD,18045,USA,48**8483,Cigarette Retail,02/29/2024,"2500 NORTHAMPTON ROAD
EASTON, PA 18045
(40.68677, -75.25267)"
LACKAWANNA,CCJ VENTURES LLC,WAIT A MINUTE BAR,18508-1824,USA,35**0029,Cigarette Vending,02/29/2024,"1501 N MAIN AVE
SCRANTON, PA 18508-1824
(41.43269, -75.66268)"
UNKNOWN/OUT OF STATE,JUUL LABS INC,JUUL LABS INC,20004-1501,USA,99**2220,OTP Retail,02/28/2023,"1000 F ST NW
WASHINGTON, DC 20004-1501
(38.89734, -77.02621)"
DELAWARE,PRINCESS MARKET INC,PRINCESS MARKET INC,19079-2335,USA,23**9644,Cigarette/OTP Retail,02/29/2024,"1126 HOOK RD
SHARON HILL, PA 19079-2335
(39.89831, -75.2668)"
UNKNOWN/OUT OF STATE,THESY LLC,HICKSON,91731-1947,USA,99**3236,OTP Retail,02/28/2023,"10620 HICKSON ST
EL MONTE, CA 91731-1947
(34.08113, -118.04129)"
WESTMORELAND,NELSON LOGUASTO CIGAR COMPANY LLC,IRWIN STORE,15642-2718,USA,65**9984,Cigarette/OTP Retail,02/29/2024,"8775 NORWIN AVE
IRWIN, PA 15642-2718
(40.3167, -79.69499)"
