"ID","age","sex","ethnicity","ethnic.target","target.type","target","sympathy","average.sympathy","c.sympathy","c.average.sympathy","warmth"
2731445587,26,"female","East Asian","White","outgroup",1,9,8,1,1.44367015098722,9
2731472699,23,"female","East Asian","White","outgroup",1,9,8.42857142857143,0.571428571428571,1.87224157955865,9
2731509146,19,"male","White","White","ingroup",-1,6,5.71428571428571,0.285714285714286,-0.842044134727061,6
2731550324,21,"male","East Asian","White","outgroup",1,8,8.85714285714286,-0.857142857142858,2.30081300813008,7
2731561185,21,"male","White","White","ingroup",-1,8,7.85714285714286,0.142857142857143,1.30081300813008,10
2731563337,22,"female","Arabic","White","outgroup",1,10,9.57142857142857,0.428571428571429,3.0150987224158,11
2733024346,36,"female","White","White","ingroup",-1,6,6.14285714285714,-0.142857142857143,-0.413472706155632,6
2733222546,21,"male","East Asian","White","outgroup",1,8,7.14285714285714,0.857142857142857,0.586527293844368,9
2733286772,20,"female","East Asian","White","outgroup",1,1,5.28571428571429,-4.28571428571429,-1.27061556329849,11
2735012564,20,"male","Latino","White","outgroup",1,7,8.28571428571429,-1.28571428571429,1.72938443670151,9
2735186617,19,"female","East Asian","White","outgroup",1,6,5.28571428571429,0.714285714285714,-1.27061556329849,8
2737841082,22,"female","White","White","ingroup",-1,6,5.57142857142857,0.428571428571429,-0.984901277584204,6
2737850935,22,"female","Black","White","outgroup",1,7,8.42857142857143,-1.42857142857143,1.87224157955865,6
2737868788,19,"male","East Asian","White","outgroup",1,8,6,2,-0.556329849012775,9
2737911619,19,"female","East Asian","White","outgroup",1,2,3.14285714285714,-1.14285714285714,-3.41347270615563,8
2738069387,19,"male","East Asian","White","outgroup",1,6,5.71428571428571,0.285714285714286,-0.842044134727061,6
2739501853,21,"male","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2739533766,19,"female","East Asian","White","outgroup",1,9,8.57142857142857,0.428571428571429,2.0150987224158,7
2739542601,19,"female","East Asian","White","outgroup",1,9,9.28571428571429,-0.285714285714286,2.72938443670151,9
2739701069,18,"female","East Asian","White","outgroup",1,3,5.85714285714286,-2.85714285714286,-0.699186991869919,8
2741319517,21,"female","White","White","ingroup",-1,2,5.71428571428571,-3.71428571428571,-0.842044134727061,3
2741389448,19,"female","East Asian","White","outgroup",1,8,7.28571428571429,0.714285714285714,0.72938443670151,6
2741543439,26,"female","White","White","ingroup",-1,11,5.83333333333333,5.16666666666667,-0.722996515679442,10
2741546681,65,"female","White","White","ingroup",-1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2741590202,18,"female","East Asian","White","outgroup",1,2,7.71428571428571,-5.71428571428571,1.15795586527294,5
2743500875,21,"male","South Asian","White","outgroup",1,6,5.85714285714286,0.142857142857143,-0.699186991869919,6
2744767937,50,"female","Black","White","outgroup",1,1,3.42857142857143,-2.42857142857143,-3.12775842044135,2
2744823499,28,"female","East Asian","White","outgroup",1,8,7,1,0.443670150987225,6
2744855453,17,"male","Latino","White","outgroup",1,3,4.28571428571429,-1.28571428571429,-2.27061556329849,6
2744942407,31,"female","Latino","White","outgroup",1,1,7.85714285714286,-6.85714285714286,1.30081300813008,11
2745015201,63,"female","White","White","ingroup",-1,2,2.57142857142857,-0.571428571428572,-3.9849012775842,7
2745022431,24,"female","White","White","ingroup",-1,1,3,-2,-3.55632984901278,6
2745279001,20,"female","East Asian","White","outgroup",1,1,4.57142857142857,-3.57142857142857,-1.9849012775842,8
2746098895,19,"male","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2746374389,18,"female","East Asian","White","outgroup",1,3,3,0,-3.55632984901278,7
2746442525,22,"female","East Asian","White","outgroup",1,6,6.28571428571429,-0.285714285714286,-0.27061556329849,8
2746457180,21,"female","East Asian","White","outgroup",1,8,7.85714285714286,0.142857142857143,1.30081300813008,8
2746528563,20,"female","East Asian","White","outgroup",1,6,5.71428571428571,0.285714285714286,-0.842044134727061,7
2746586818,18,"female","East Asian","White","outgroup",1,3,6.71428571428571,-3.71428571428571,0.157955865272939,7
2746655246,24,"male","East Asian","White","outgroup",1,11,10,1,3.44367015098722,11
2746865264,17,"female","East Asian","White","outgroup",1,5,6.71428571428571,-1.71428571428571,0.157955865272939,9
2747449841,18,"male","South Asian","White","outgroup",1,1,1,0,-5.55632984901278,6
2747495274,23,"female","East Asian","White","outgroup",1,2,3,-1,-3.55632984901278,5
2747994824,21,"female","White","White","ingroup",-1,6,8.28571428571429,-2.28571428571429,1.72938443670151,11
2749838816,25,"female","Black","White","outgroup",1,3,6.42857142857143,-3.42857142857143,-0.127758420441347,6
2749856349,28,"female","White","White","ingroup",-1,3,7.14285714285714,-4.14285714285714,0.586527293844368,6
2749863392,22,"female","White","White","ingroup",-1,9,8,1,1.44367015098722,6
2749921471,20,"female","East Asian","White","outgroup",1,1,2,-1,-4.55632984901278,6
2751476596,23,"male","White","White","ingroup",-1,11,6.57142857142857,4.42857142857143,0.0150987224157957,11
2751835364,23,"female","East Asian","White","outgroup",1,5,5,0,-1.55632984901278,6
2753205209,24,"male","East Asian","White","outgroup",1,7,7.42857142857143,-0.428571428571429,0.872241579558653,6
2753504822,16,"female","East Asian","White","outgroup",1,6,5.71428571428571,0.285714285714286,-0.842044134727061,6
2753514709,23,"male","White","White","ingroup",-1,11,6.42857142857143,4.57142857142857,-0.127758420441347,11
2753515099,29,"female","White","White","ingroup",-1,10,4.42857142857143,5.57142857142857,-2.12775842044135,11
2753524300,18,"male","Arabic","White","outgroup",1,1,1.85714285714286,-0.857142857142857,-4.69918699186992,6
2753544928,20,"female","Black","White","outgroup",1,11,10.2857142857143,0.714285714285714,3.72938443670151,10
2753567677,18,"female","White","White","ingroup",-1,10,7.28571428571429,2.71428571428571,0.72938443670151,10
2753605913,16,"female","South Asian","White","outgroup",1,5,5.14285714285714,-0.142857142857143,-1.41347270615563,6
2753654298,19,"male","East Asian","White","outgroup",1,1,2,-1,-4.55632984901278,7
2753661311,41,"male","White","White","ingroup",-1,11,6.42857142857143,4.57142857142857,-0.127758420441347,10
2753768820,42,"female","South Asian","White","outgroup",1,6,7.42857142857143,-1.42857142857143,0.872241579558653,6
2753810645,50,"male","South Asian","White","outgroup",1,5,6.85714285714286,-1.85714285714286,0.300813008130081,7
2753827200,22,"male","White","White","ingroup",-1,1,2.28571428571429,-1.28571428571429,-4.27061556329849,9
2754359232,20,"female","White","White","ingroup",-1,7,8,-1,1.44367015098722,9
2755506694,24,"female","Black","White","outgroup",1,2,6.71428571428571,-4.71428571428571,0.157955865272939,4
2755546167,18,"male","Latino","White","outgroup",1,6,6,0,-0.556329849012775,6
2755588428,19,"female","White","White","ingroup",-1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2755609271,19,"male","South Asian","White","outgroup",1,5,5.57142857142857,-0.571428571428571,-0.984901277584204,8
2755634042,23,"female","East Asian","White","outgroup",1,6,5.71428571428571,0.285714285714286,-0.842044134727061,8
2755655870,17,"female","South Asian","White","outgroup",1,6,5.85714285714286,0.142857142857143,-0.699186991869919,6
2755709013,22,"male","East Asian","White","outgroup",1,5,6.14285714285714,-1.14285714285714,-0.413472706155632,9
2757142589,31,"female","East Asian","White","outgroup",1,6,6.57142857142857,-0.571428571428571,0.0150987224157957,5
2757206379,26,"male","South Asian","White","outgroup",1,11,10.2857142857143,0.714285714285714,3.72938443670151,11
2757231225,40,"male","White","White","ingroup",-1,11,9.28571428571429,1.71428571428571,2.72938443670151,11
2757238338,45,"female","East Asian","White","outgroup",1,7,4.42857142857143,2.57142857142857,-2.12775842044135,6
2757303829,16,"male","South Asian","White","outgroup",1,11,7.85714285714286,3.14285714285714,1.30081300813008,11
2758719455,21,"male","South Asian","White","outgroup",1,5,5.71428571428571,-0.714285714285714,-0.842044134727061,9
2758768610,19,"male","East Asian","White","outgroup",1,1,1.71428571428571,-0.714285714285714,-4.84204413472706,10
2758777083,20,"male","East Asian","White","outgroup",1,6,5.14285714285714,0.857142857142857,-1.41347270615563,6
2760455783,19,"male","South Asian","White","outgroup",1,1,5.42857142857143,-4.42857142857143,-1.12775842044135,11
2760503570,21,"female","South Asian","White","outgroup",1,1,5.14285714285714,-4.14285714285714,-1.41347270615563,8
2760511514,21,"female","East Asian","White","outgroup",1,5,6.14285714285714,-1.14285714285714,-0.413472706155632,6
2760562563,25,"female","East Asian","White","outgroup",1,6,5.85714285714286,0.142857142857143,-0.699186991869919,6
2760583748,40,"male","White","White","ingroup",-1,9,2.42857142857143,6.57142857142857,-4.12775842044135,9
2762539207,29,"male","White","White","ingroup",-1,8,7.28571428571429,0.714285714285714,0.72938443670151,6
2763078934,75,"male","White","White","ingroup",-1,11,5.85714285714286,5.14285714285714,-0.699186991869919,11
2764234066,61,"female","White","White","ingroup",-1,6,6,0,-0.556329849012775,6
2764282283,19,"male","South Asian","White","outgroup",1,2,7.57142857142857,-5.57142857142857,1.0150987224158,11
2764386179,25,"male","Arabic","White","outgroup",1,2,2,0,-4.55632984901278,2
2766047811,18,"female","White","White","ingroup",-1,4,4.28571428571429,-0.285714285714286,-2.27061556329849,6
2767645408,22,"female","East Asian","White","outgroup",1,11,10.1428571428571,0.857142857142858,3.58652729384437,11
2770890793,27,"male","East Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2774452699,22,"female","East Asian","White","outgroup",1,2,4,-2,-2.55632984901278,3
2774685364,29,"male","East Asian","White","outgroup",1,6,6,0,-0.556329849012775,6
2776183410,32,"female","South Asian","White","outgroup",1,7,6.71428571428571,0.285714285714286,0.157955865272939,7
2776528094,30,"female","White","White","ingroup",-1,9,9.71428571428571,-0.714285714285714,3.15795586527294,11
2780454529,22,"female","East Asian","White","outgroup",1,5,5.42857142857143,-0.428571428571429,-1.12775842044135,7
2783222778,25,"male","East Asian","White","outgroup",1,9,7.28571428571429,1.71428571428571,0.72938443670151,10
2783223556,22,"female","Arabic","White","outgroup",1,2,5.85714285714286,-3.85714285714286,-0.699186991869919,7
2783494839,31,"female","White","White","ingroup",-1,11,8.14285714285714,2.85714285714286,1.58652729384437,11
2783508311,29,"female","White","White","ingroup",-1,10,9.42857142857143,0.571428571428571,2.87224157955865,10
2806517618,26,"female","East Asian","White","outgroup",1,10,8.42857142857143,1.57142857142857,1.87224157955865,9
2810467717,19,"female","White","White","ingroup",-1,11,10.2857142857143,0.714285714285714,3.72938443670151,7
2813821869,25,"female","White","White","ingroup",-1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2813846971,57,"male","White","White","ingroup",-1,10,2.57142857142857,7.42857142857143,-3.9849012775842,8
2820106638,23,"female","White","White","ingroup",-1,11,9.28571428571429,1.71428571428571,2.72938443670151,11
2820215505,27,"male","East Asian","White","outgroup",1,1,5.85714285714286,-4.85714285714286,-0.699186991869919,7
2820237396,22,"male","White","White","ingroup",-1,11,9.14285714285714,1.85714285714286,2.58652729384437,11
2820308927,19,"male","East Asian","White","outgroup",1,5,5.28571428571429,-0.285714285714286,-1.27061556329849,6
2820322632,20,"female","White","White","ingroup",-1,6,5.71428571428571,0.285714285714286,-0.842044134727061,6
2829746692,18,"female","Latino","White","outgroup",1,8,9.28571428571429,-1.28571428571429,2.72938443670151,11
2829884015,28,"female","South Asian","White","outgroup",1,10,9.57142857142857,0.428571428571429,3.0150987224158,11
2829923613,28,"male","White","White","ingroup",-1,8,7.71428571428571,0.285714285714286,1.15795586527294,8
2831938786,18,"female","East Asian","White","outgroup",1,4,5.14285714285714,-1.14285714285714,-1.41347270615563,6
2831967037,30,"female","South Asian","White","outgroup",1,3,6.85714285714286,-3.85714285714286,0.300813008130081,8
2834509170,23,"male","White","White","ingroup",-1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2835669664,21,"male","South Asian","White","outgroup",1,1,6.28571428571429,-5.28571428571429,-0.27061556329849,6
2837310026,21,"male","White","White","ingroup",-1,8,8.14285714285714,-0.142857142857142,1.58652729384437,6
2868058813,18,"female","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2868060213,19,"male","East Asian","White","outgroup",1,6,5.28571428571429,0.714285714285714,-1.27061556329849,1
2868060602,18,"female","South Asian","White","outgroup",1,4,6.42857142857143,-2.42857142857143,-0.127758420441347,7
2868063873,18,"female","South Asian","White","outgroup",1,6,7.57142857142857,-1.57142857142857,1.0150987224158,9
2868064299,22,"male","White","White","ingroup",-1,8,5.14285714285714,2.85714285714286,-1.41347270615563,8
2868080637,18,"female","East Asian","White","outgroup",1,6,6.42857142857143,-0.428571428571429,-0.127758420441347,9
2868081235,18,"female","East Asian","White","outgroup",1,1,1.85714285714286,-0.857142857142857,-4.69918699186992,2
2868086753,18,"female","South Asian","White","outgroup",1,11,10.2857142857143,0.714285714285714,3.72938443670151,11
2868096075,18,"female","South Asian","White","outgroup",1,1,3.57142857142857,-2.57142857142857,-2.9849012775842,6
2868100877,18,"female","East Asian","White","outgroup",1,1,5.71428571428571,-4.71428571428571,-0.842044134727061,8
2868103998,18,"female","South Asian","White","outgroup",1,2,6.85714285714286,-4.85714285714286,0.300813008130081,7
2868125591,19,"male","East Asian","White","outgroup",1,2,3.28571428571429,-1.28571428571429,-3.27061556329849,3
2868138598,19,"female","East Asian","White","outgroup",1,2,3.28571428571429,-1.28571428571429,-3.27061556329849,9
2868151921,20,"female","East Asian","White","outgroup",1,4,5.14285714285714,-1.14285714285714,-1.41347270615563,6
2868162318,18,"male","South Asian","White","outgroup",1,7,8.57142857142857,-1.57142857142857,2.0150987224158,6
2868176525,18,"female","South Asian","White","outgroup",1,7,8,-1,1.44367015098722,11
2868181737,17,"male","White","White","ingroup",-1,9,8.71428571428571,0.285714285714286,2.15795586527294,6
2868182931,18,"female","White","White","ingroup",-1,7,7.57142857142857,-0.571428571428571,1.0150987224158,11
2868197870,16,"male","Black","White","outgroup",1,6,5.71428571428571,0.285714285714286,-0.842044134727061,6
2868198937,18,"female","South Asian","White","outgroup",1,1,6.42857142857143,-5.42857142857143,-0.127758420441347,6
2868204167,19,"male","South Asian","White","outgroup",1,8,9.28571428571429,-1.28571428571429,2.72938443670151,11
2868208123,17,"male","East Asian","White","outgroup",1,1,1.42857142857143,-0.428571428571429,-5.12775842044135,3
2868227311,18,"female","East Asian","White","outgroup",1,2,5.28571428571429,-3.28571428571429,-1.27061556329849,6
2868249604,18,"female","South Asian","White","outgroup",1,4,6,-2,-0.556329849012775,8
2868255058,17,"female","Arabic","White","outgroup",1,2,2.57142857142857,-0.571428571428572,-3.9849012775842,5
2868256254,18,"female","South Asian","White","outgroup",1,5,4.85714285714286,0.142857142857143,-1.69918699186992,6
2868260184,18,"female","East Asian","White","outgroup",1,7,8.14285714285714,-1.14285714285714,1.58652729384437,9
2868287262,18,"female","Black","White","outgroup",1,1,6.28571428571429,-5.28571428571429,-0.27061556329849,6
2868293654,20,"female","South Asian","White","outgroup",1,2,5.85714285714286,-3.85714285714286,-0.699186991869919,6
2868295681,18,"female","Arabic","White","outgroup",1,1,4,-3,-2.55632984901278,10
2868312476,17,"female","South Asian","White","outgroup",1,6,4.85714285714286,1.14285714285714,-1.69918699186992,9
2868315646,17,"female","White","White","ingroup",-1,10,5.57142857142857,4.42857142857143,-0.984901277584204,11
2868321050,18,"male","Arabic","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,9
2870039452,26,"female","East Asian","White","outgroup",1,8,7.57142857142857,0.428571428571429,1.0150987224158,9
2870553421,18,"female","White","White","ingroup",-1,9,8.57142857142857,0.428571428571429,2.0150987224158,10
2871000701,18,"female","South Asian","White","outgroup",1,1,5.71428571428571,-4.71428571428571,-0.842044134727061,6
2871742850,18,"female","South Asian","White","outgroup",1,2,3.57142857142857,-1.57142857142857,-2.9849012775842,7
2871874776,18,"female","South Asian","White","outgroup",1,2,6.14285714285714,-4.14285714285714,-0.413472706155632,8
2873792732,18,"female","White","White","ingroup",-1,8,7.85714285714286,0.142857142857143,1.30081300813008,11
2873855587,18,"female","South Asian","White","outgroup",1,3,6.71428571428571,-3.71428571428571,0.157955865272939,9
2873866031,18,"female","South Asian","White","outgroup",1,1,1.71428571428571,-0.714285714285714,-4.84204413472706,9
2874024887,18,"female","South Asian","White","outgroup",1,7,7.14285714285714,-0.142857142857143,0.586527293844368,7
2874104751,19,"female","South Asian","White","outgroup",1,6,7.33333333333333,-1.33333333333333,0.777003484320558,4
2878476047,18,"female","South Asian","White","outgroup",1,6,6.16666666666667,-0.166666666666667,-0.389663182346109,6
2880961534,19,"female","South Asian","White","outgroup",1,9,8.71428571428571,0.285714285714286,2.15795586527294,9
2882698062,22,"female","East Asian","White","outgroup",1,6,5.28571428571429,0.714285714285714,-1.27061556329849,6
2882774045,18,"female","Latino","White","outgroup",1,8,5.5,2.5,-1.05632984901278,8
2884410149,18,"female","East Asian","White","outgroup",1,8,9,-1,2.44367015098722,6
2884435985,18,"male","South Asian","White","outgroup",1,6,5.85714285714286,0.142857142857143,-0.699186991869919,6
2889073286,18,"male","South Asian","White","outgroup",1,2,3.71428571428571,-1.71428571428571,-2.84204413472706,6
2890436033,20,"female","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2891435652,18,"female","South Asian","White","outgroup",1,6,6.85714285714286,-0.857142857142857,0.300813008130081,7
2891467751,18,"female","South Asian","White","outgroup",1,4,6.57142857142857,-2.57142857142857,0.0150987224157957,7
2891481258,18,"female","South Asian","White","outgroup",1,3,4.42857142857143,-1.42857142857143,-2.12775842044135,5
2895414729,18,"female","East Asian","White","outgroup",1,11,10,1,3.44367015098722,8
2895940029,19,"female","East Asian","White","outgroup",1,9,8.28571428571429,0.714285714285714,1.72938443670151,9
2896871238,19,"female","White","White","ingroup",-1,1,8.57142857142857,-7.57142857142857,2.0150987224158,9
2899433669,36,"female","White","White","ingroup",-1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2901593462,17,"female","South Asian","White","outgroup",1,4,5.85714285714286,-1.85714285714286,-0.699186991869919,3
2901917006,19,"female","South Asian","White","outgroup",1,6,6,0,-0.556329849012775,1
2902117695,39,"female","Latino","White","outgroup",1,1,3.85714285714286,-2.85714285714286,-2.69918699186992,5
2911256589,17,"female","East Asian","White","outgroup",1,7,6.71428571428571,0.285714285714286,0.157955865272939,6
2911301017,18,"female","South Asian","White","outgroup",1,5,6.85714285714286,-1.85714285714286,0.300813008130081,6
2913691587,19,"female","South Asian","White","outgroup",1,6,7.14285714285714,-1.14285714285714,0.586527293844368,9
2916308420,17,"male","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2916376686,21,"female","White","White","ingroup",-1,10,8.42857142857143,1.57142857142857,1.87224157955865,9
2918932945,18,"male","South Asian","White","outgroup",1,8,8.14285714285714,-0.142857142857142,1.58652729384437,8
2921626595,22,"male","White","White","ingroup",-1,11,4.28571428571429,6.71428571428571,-2.27061556329849,10
2921711919,24,"female","White","White","ingroup",-1,3,6.71428571428571,-3.71428571428571,0.157955865272939,9
2923645499,18,"female","White","White","ingroup",-1,5,9.57142857142857,-4.57142857142857,3.0150987224158,6
2923708880,18,"female","East Asian","White","outgroup",1,4,4,0,-2.55632984901278,8
2923723304,19,"male","White","White","ingroup",-1,6,5.71428571428571,0.285714285714286,-0.842044134727061,9
2923724361,31,"male","White","White","ingroup",-1,9,5.85714285714286,3.14285714285714,-0.699186991869919,7
2923733913,18,"female","East Asian","White","outgroup",1,8,7.71428571428571,0.285714285714286,1.15795586527294,8
2923740855,19,"male","White","White","ingroup",-1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2923742670,18,"female","South Asian","White","outgroup",1,9,8.71428571428571,0.285714285714286,2.15795586527294,9
2923743228,18,"female","South Asian","White","outgroup",1,3,7.57142857142857,-4.57142857142857,1.0150987224158,11
2923752804,21,"male","South Asian","White","outgroup",1,8,6.85714285714286,1.14285714285714,0.300813008130081,6
2923753858,18,"female","South Asian","White","outgroup",1,6,7,-1,0.443670150987225,5
2923812949,19,"female","South Asian","White","outgroup",1,11,11,0,4.44367015098722,11
2923829395,18,"female","East Asian","White","outgroup",1,6,7.14285714285714,-1.14285714285714,0.586527293844368,10
2923837569,18,"male","South Asian","White","outgroup",1,7,8.42857142857143,-1.42857142857143,1.87224157955865,8
2923870646,18,"female","Arabic","White","outgroup",1,10,9.57142857142857,0.428571428571429,3.0150987224158,11
2923882256,17,"female","South Asian","White","outgroup",1,8,6.28571428571429,1.71428571428571,-0.27061556329849,8
2923882419,17,"female","White","White","ingroup",-1,6,5.14285714285714,0.857142857142857,-1.41347270615563,8
2923893692,18,"female","White","White","ingroup",-1,4,6.14285714285714,-2.14285714285714,-0.413472706155632,10
2923895808,18,"female","South Asian","White","outgroup",1,8,8.71428571428571,-0.714285714285714,2.15795586527294,6
2923899199,18,"female","South Asian","White","outgroup",1,8,8.42857142857143,-0.428571428571429,1.87224157955865,6
2923916868,18,"female","South Asian","White","outgroup",1,2,6.71428571428571,-4.71428571428571,0.157955865272939,6
2923942723,19,"male","South Asian","White","outgroup",1,1,2.71428571428571,-1.71428571428571,-3.84204413472706,4
2923947348,19,"female","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,9
2924169565,18,"female","South Asian","White","outgroup",1,5,6,-1,-0.556329849012775,9
2924784902,17,"female","East Asian","White","outgroup",1,6,7,-1,0.443670150987225,8
2924799294,19,"male","East Asian","White","outgroup",1,3,4.57142857142857,-1.57142857142857,-1.9849012775842,7
2924804321,18,"female","South Asian","White","outgroup",1,3,4.57142857142857,-1.57142857142857,-1.9849012775842,7
2924811463,18,"male","East Asian","White","outgroup",1,10,9.57142857142857,0.428571428571429,3.0150987224158,6
2924827741,17,"female","South Asian","White","outgroup",1,1,6,-5,-0.556329849012775,11
2924845789,19,"female","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2924855874,18,"female","South Asian","White","outgroup",1,9,7.71428571428571,1.28571428571429,1.15795586527294,6
2924856209,18,"male","East Asian","White","outgroup",1,5,5.71428571428571,-0.714285714285714,-0.842044134727061,6
2924861495,18,"male","East Asian","White","outgroup",1,11,10,1,3.44367015098722,6
2924870231,18,"female","Arabic","White","outgroup",1,9,8.42857142857143,0.571428571428571,1.87224157955865,8
2924878920,18,"female","East Asian","White","outgroup",1,6,5.71428571428571,0.285714285714286,-0.842044134727061,7
2924895482,17,"female","South Asian","White","outgroup",1,6,3.85714285714286,2.14285714285714,-2.69918699186992,10
2924896606,18,"female","East Asian","White","outgroup",1,6,5.28571428571429,0.714285714285714,-1.27061556329849,6
2924904696,22,"female","East Asian","White","outgroup",1,2,6.42857142857143,-4.42857142857143,-0.127758420441347,6
2924920844,18,"female","South Asian","White","outgroup",1,1,3.42857142857143,-2.42857142857143,-3.12775842044135,10
2924928595,20,"male","White","White","ingroup",-1,8,6.85714285714286,1.14285714285714,0.300813008130081,7
2925147388,18,"female","South Asian","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,11
2925670956,28,"male","White","White","ingroup",-1,9,6.14285714285714,2.85714285714286,-0.413472706155632,9
2925693555,29,"female","White","White","ingroup",-1,9,6.14285714285714,2.85714285714286,-0.413472706155632,8
2925754460,26,"male","White","White","ingroup",-1,4,5.28571428571429,-1.28571428571429,-1.27061556329849,9
2925878258,18,"female","South Asian","White","outgroup",1,6,6.14285714285714,-0.142857142857143,-0.413472706155632,7
2926019363,18,"female","South Asian","White","outgroup",1,2,4,-2,-2.55632984901278,2
2928112233,18,"female","South Asian","White","outgroup",1,5,8.71428571428571,-3.71428571428571,2.15795586527294,11
2928112297,18,"female","East Asian","White","outgroup",1,1,1.57142857142857,-0.571428571428571,-4.9849012775842,6
2928112653,28,"male","White","White","ingroup",-1,3,5.85714285714286,-2.85714285714286,-0.699186991869919,8
2928116558,18,"female","South Asian","White","outgroup",1,6,6,0,-0.556329849012775,6
2928146997,35,"male","White","White","ingroup",-1,8,5.57142857142857,2.42857142857143,-0.984901277584204,8
2928237440,26,"male","White","White","ingroup",-1,3,5.42857142857143,-2.42857142857143,-1.12775842044135,8
2928368012,19,"male","East Asian","White","outgroup",1,1,3.14285714285714,-2.14285714285714,-3.41347270615563,9
2930519487,19,"male","Arabic","White","outgroup",1,4,4,0,-2.55632984901278,3
2930543700,18,"female","South Asian","White","outgroup",1,11,10.2857142857143,0.714285714285714,3.72938443670151,11
2930588942,28,"male","Black","White","outgroup",1,3,6,-3,-0.556329849012775,9
