County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
ALLEGHENY,JACOB NIKITUK,TRIPLE TREE,15479,US,02**5008,Vending,02/28/2022,"133 1ST STREET
SMITHTON, PA 15479
(40.154659, -79.742301)"
MONROE,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #214,18360-1802,US,45**6697,Cig/OTP Retail,02/28/2022,"220 NORTH NINTH STREET
STROUDSBURG, PA 18360-1802
(40.986817, -75.202404)"
LANCASTER,A P & SONS INC,SUNOCO REINHOLDS,17569-9604,US,36**7691,Cig/OTP Retail,02/28/2022,"185 E MAIN ST
REINHOLDS, PA 17569-9604
(40.265426, -76.109769)"
MONTGOMERY,"XO SMOKE, INC.","XO SMOKE, INC.",19095,US,46**3698,OTP Retail,02/28/2022,"1000 S. EASTON ROAD
WYNCOTE, PA 19095
(40.082063, -75.171447)"
DAUPHIN,PUFF SUPER VALUE INC,PUFF SUPER VALUE 08,17057-2725,US,22**5183,Cig/OTP Retail,02/28/2022,"428 E MAIN ST
MIDDLETOWN, PA 17057-2725
(40.20134, -76.723381)"
ALLEGHENY,JACOB NIKITUK,BROAD STREET BISTRO,15137,US,02**5008,Vending,02/28/2022,"1025 BROAD STREET
NORTH VERSAILLES, PA 15137
(40.3743, -79.797681)"
PHILADELPHIA,CENY GROCERY LLC,CENY GROCERY LLC,19133,US,51**2061,Retail,02/28/2022,"2966 N HANCOCK STREET
PHILADELPHIA, PA 19133
(39.995738, -75.132793)"
WESTMORELAND,JAK PETROLEUM COMPANY,JAK PETROLEUM COMPANY,15690,US,65**5570,Cig/OTP Retail,02/28/2022,"2232 RIVER ROAD RT 56 EAS
VANDERGRIFT, PA 15690"
PHILADELPHIA,FAMILY DOLLAR STORES OF PA LLC,FAMILY DOLLAR #23153,19150,US,51**4038,Cig/OTP Retail,02/28/2022,"1600 E WADSWORTH AVE STE
PHILADELPHIA, PA 19150"
MERCER,FAMILY DOLLAR STORES OF PA LLC,FAMILY DOLLAR #27500,16154,US,43**4098,Cig/OTP Retail,02/28/2022,"3676 NORTH HERMITAGE RD
TRANSFER, PA 16154
(41.331152, -80.413328)"
YORK,THRIFT DRUG INC,RITE AID #11025,17319-8967,US,70**0234,Cig/OTP Retail,02/28/2022,"65 NEWBERRY PKWY
ETTERS, PA 17319-8967
(40.159826, -76.805528)"
MONTGOMERY,MH AAA ENTERPRISE INC.,7-ELEVEN STORE #24160E,19096,US,46**4612,Cig/OTP Retail,02/28/2022,"1401 CITY AVENUE
WYNNEWOOD, PA 19096
(39.980001, -75.269674)"
DAUPHIN,J D PREMO ASSOCIATES,J D PREMO ASSOCIATES INC,17109-2209,US,22**1674,Cig/OTP Retail,02/28/2022,"3932 JONESTOWN RD
HARRISBURG, PA 17109-2209
(40.293498, -76.829672)"
PHILADELPHIA,5703 PERALTA FOOD MARKET INC,5703 PERALTA FOOD MARKET INC,19143,US,51**9512,Cig/OTP Retail,02/28/2022,"5703 ELMWOOD AVE
PHILADELPHIA, PA 19143
(39.929907, -75.219379)"
NORTHAMPTON,VALERIE NOTO,"NOTO, VALERIE",18042,US,48**3812,Retail,02/28/2022,"930 NORTHAMPTON ST
EASTON, PA 18042
(40.690608, -75.222244)"
ALLEGHENY,GULJAN ENTERPRISES INC,GULJAN ENTERPRISES INC,15136,US,02**4621,Cig/OTP Retail,02/28/2022,"700 FREDRICK ST
MCKEES ROCKS, PA 15136
(40.471455, -80.065169)"
BUCKS,MODERN FOG VAPOR INC,MODERN FOG VAPOR INC,19057,US,09**5765,OTP Retail,02/28/2022,"6906 BRISTOL EMILIE ROAD
LEVITTOWN, PA 19057
(40.152837, -74.855913)"
DELAWARE,LIN ENTERPRISES LLC,LIN ENTERPRISES LLC,19063-5715,US,23**8639,Cig/OTP Retail,02/28/2022,"14 S PENNELL RD
MEDIA, PA 19063-5715
(39.911198, -75.439783)"
CHESTER,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #109,19335-2510,US,15**6723,Cig/OTP Retail,02/28/2022,"132 WEST LANCASTER AVENUE
DOWNINGTOWN, PA 19335-2510
(40.003028, -75.709472)"
ARMSTRONG,LUKIES INC,AVIS TAVERN,16263,US,03**6538,Cig/OTP Retail,02/28/2022,"202 MAIN STREET
YATESBORO, PA 16263
(40.77173, -79.524256)"
SCHUYLKILL,HANS DEIBLER,CLAYT'S CORNER TAVERN,17881,US,54**8232,Vending,02/28/2022,"400 WEST MARKET ST
TREVORTON, PA 17881
(40.782268, -76.6721)"
INDIANA,BLAIRSVILLE NOVELTIES & GIFTS INC,BLAIRSVILLE NOVELTIES & GIFTS INC,15717,US,32**1767,Cig/OTP Retail,02/28/2022,"RR 4
BLAIRSVILLE, PA 15717"
ALLEGHENY,B & M MARKET LLC,B & M MARKET LLC,15204,US,02**7476,Retail,02/28/2022,"3038 CHARTIERS AVE
PITTSBURGH, PA 15204
(40.453984, -80.059519)"
LUZERNE,GERMANTOWN PIKE & RIDGE PIKE NOVELTIES &,GERMANTOWN PIKE & RIDGE PIKE NOVELT,18618-3192,US,40**1703,Cig/OTP Retail,02/28/2022,"130 NOXEN RD
HARVEYS LAKE, PA 18618-3192
(41.378382, -76.048215)"
NORTHAMPTON,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #298,18017,US,48**6764,Cig/OTP Retail,02/28/2022,"6020 STERNERS WAY
BETHLEHEM, PA 18017
(40.682712, -75.388554)"
ALLEGHENY,JACOB NIKITUK,SNJP- MIDWAY,15019,US,02**5008,Vending,02/28/2022,"1305 GRANT STREET
BULGER, PA 15019
(40.368001, -80.300337)"
